Instance  		Objective		Scheduling														Heuristic		Metaheuristic		Duration (in s)
instance1 		20987			ratio value/weightOfMostCriticalDimension crescent  			Static 		    Local Research		0.002442
instance2 		22894			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.004232
instance3 		21800			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.004580
instance4 		21171			ratio value/weightOfMostCriticalDimension crescent  			Dynamic		    Local Research		0.002948
instance5 		21316			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002782
instance6 		23719			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002890
instance7 		23101			ratio value/totalWeight descending                  			Static 		    Local Research		0.005160
instance8 		21911			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002128
instance9 		21709			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.004626
instance10 		23705			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002650
instance11 		41331			ratio value/totalWeight descending                  			Static 		    Local Research		0.002322
instance12 		40839			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002720
instance13 		39508			ratio value/totalWeight descending                  			Static 		    Local Research		0.006102
instance14 		41792			ratio value/totalWeight descending                  			Static 		    Local Research		0.003538
instance15 		39319			ratio value/totalWeight descending                  			Static 		    Local Research		0.002604
instance16 		40734			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.005284
instance17 		39376			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.003824
instance18 		43155			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.003520
instance19 		41237			ratio value/totalWeight descending                  			Static 		    Local Research		0.002770
instance20 		42749			ratio value/totalWeight descending                  			Static 		    Local Research		0.002106
instance21 		59504			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002148
instance22 		59853			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.003400
instance23 		58617			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.001736
instance24 		59356			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.001530
instance25 		60505			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.002260
instance26 		57139			ratio value/weightOfMostCriticalDimension crescent  			Dynamic		    Local Research		0.002064
instance27 		59559			ratio value/totalWeight descending                  			Static 		    Local Research		0.001446
instance28 		59804			descending                                          			Static 		    Local Research		0.001072
instance29 		57537			ratio value/totalWeight descending                  			Dynamic		    Local Research		0.001558
