Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance1	18822	random	Dynamic	0.000498
instance2	16411	random	Dynamic	0.000478
instance3	15826	random	Static	0.000466
instance4	17465	random	Static	0.000436
instance5	17418	random	Dynamic	0.000448
instance6	16320	random	Dynamic	0.000444
instance7	19672	random	Dynamic	0.000452
instance8	17087	random	Dynamic	0.000492
instance9	16967	random	Static	0.000434
instance10	16583	random	Dynamic	0.000500
instance11	32959	random	Static	0.000538
instance12	36318	random	Dynamic	0.000560
instance13	33555	random	Static	0.000694
instance14	38059	random	Static	0.000602
instance15	33555	random	Dynamic	0.000540
instance16	30793	random	Static	0.000552
instance17	34608	random	Static	0.000552
instance18	32999	random	Dynamic	0.000666
instance19	33939	random	Static	0.000590
instance20	35091	random	Dynamic	0.000532
instance21	53086	random	Dynamic	0.000588
instance22	55522	random	Dynamic	0.000644
instance23	53566	random	Dynamic	0.000632
instance24	55324	random	Static	0.000596
instance25	52834	random	Static	0.000690
instance26	52068	random	Dynamic	0.000614
instance27	55106	random	Dynamic	0.000662
instance28	54327	random	Dynamic	0.000612
instance29	49552	random	Dynamic	0.000660
instance30	52476	random	Static	0.000692
instance1	20987	ratio value/weightOfMostCriticalDimension crescent	Static	0.001714
instance1	20987	ratio value/weightOfMostFullDimension crescent	Static	0.002698
instance1	20233	ratio value/totalWeight descending	Static	0.000884
instance1	19780	ratio value/totalWeight descending	Dynamic	0.000960
instance1	19696	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001762
instance1	19696	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002304
instance1	18166	descending	Static	0.000370
instance1	18166	descending	Dynamic	0.000316
instance1	14295	crescent	Static	0.000570
instance1	14085	ratio value/totalWeight crescent	Dynamic	0.000750
instance1	14016	random	Dynamic	0.000492
instance1	13932	random	Static	0.000554
instance1	13641	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001892
instance1	13641	ratio value/weightOfMostFullDimension descending	Dynamic	0.002748
instance1	13246	ratio value/weightOfMostFullDimension descending	Static	0.002768
instance1	13246	ratio value/weightOfMostCriticalDimension descending	Static	0.002012
instance1	12834	ratio value/totalWeight crescent	Static	0.001002
instance1	12805	crescent	Dynamic	0.000452
instance2	22280	ratio value/totalWeight descending	Dynamic	0.000802
instance2	21556	ratio value/totalWeight descending	Static	0.000792
instance2	19376	descending	Static	0.000276
instance2	19376	descending	Dynamic	0.000342
instance2	18476	ratio value/weightOfMostCriticalDimension crescent	Static	0.001796
instance2	18476	ratio value/weightOfMostFullDimension crescent	Static	0.002848
instance2	17750	random	Static	0.000502
instance2	17671	random	Dynamic	0.000486
instance2	17051	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001998
instance2	17051	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002590
instance2	16772	crescent	Dynamic	0.000346
instance2	15918	ratio value/weightOfMostCriticalDimension descending	Static	0.001676
instance2	15918	ratio value/weightOfMostFullDimension descending	Static	0.002650
instance2	15187	crescent	Static	0.000344
instance2	14262	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001866
instance2	14262	ratio value/weightOfMostFullDimension descending	Dynamic	0.002654
instance2	13639	ratio value/totalWeight crescent	Dynamic	0.000756
instance2	13314	ratio value/totalWeight crescent	Static	0.000756
instance3	21542	ratio value/totalWeight descending	Dynamic	0.000840
instance3	21074	ratio value/totalWeight descending	Static	0.000922
instance3	20629	ratio value/weightOfMostCriticalDimension crescent	Static	0.001544
instance3	20629	ratio value/weightOfMostFullDimension crescent	Static	0.002446
instance3	20289	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001480
instance3	20289	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002374
instance3	17128	descending	Static	0.000296
instance3	17128	descending	Dynamic	0.000326
instance3	15199	random	Static	0.000482
instance3	15146	random	Dynamic	0.000464
instance3	14307	crescent	Static	0.000390
instance3	13491	crescent	Dynamic	0.000338
instance3	12498	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001582
instance3	12498	ratio value/weightOfMostFullDimension descending	Dynamic	0.002438
instance3	12215	ratio value/totalWeight crescent	Static	0.000878
instance3	12184	ratio value/weightOfMostFullDimension descending	Static	0.002478
instance3	12184	ratio value/weightOfMostCriticalDimension descending	Static	0.001802
instance3	11607	ratio value/totalWeight crescent	Dynamic	0.000798
instance4	21046	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001748
instance4	21046	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002320
instance4	20222	ratio value/weightOfMostFullDimension crescent	Static	0.002428
instance4	20222	ratio value/weightOfMostCriticalDimension crescent	Static	0.001704
instance4	19676	descending	Static	0.000294
instance4	19676	descending	Dynamic	0.000298
instance4	19072	random	Static	0.000580
instance4	17924	random	Dynamic	0.000536
instance4	15522	ratio value/totalWeight descending	Static	0.000932
instance4	15413	crescent	Dynamic	0.000470
instance4	14846	ratio value/weightOfMostCriticalDimension descending	Static	0.001910
instance4	14846	ratio value/weightOfMostFullDimension descending	Static	0.002628
instance4	14810	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.002108
instance4	14810	ratio value/weightOfMostFullDimension descending	Dynamic	0.002818
instance4	14187	ratio value/totalWeight descending	Dynamic	0.001026
instance4	13944	crescent	Static	0.000454
instance4	13187	ratio value/totalWeight crescent	Static	0.000776
instance4	10860	ratio value/totalWeight crescent	Dynamic	0.000740
instance5	21084	ratio value/totalWeight descending	Dynamic	0.000860
instance5	20118	descending	Dynamic	0.000338
instance5	20118	descending	Static	0.000328
instance5	19545	ratio value/totalWeight descending	Static	0.000912
instance5	18536	ratio value/weightOfMostCriticalDimension crescent	Static	0.001824
instance5	18536	ratio value/weightOfMostFullDimension crescent	Static	0.002730
instance5	18046	random	Dynamic	0.000618
instance5	16982	random	Static	0.000634
instance5	16467	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001600
instance5	16467	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002694
instance5	14705	crescent	Dynamic	0.000370
instance5	14331	crescent	Static	0.000366
instance5	13681	ratio value/totalWeight crescent	Dynamic	0.000878
instance5	13136	ratio value/totalWeight crescent	Static	0.000824
instance5	12979	ratio value/weightOfMostCriticalDimension descending	Static	0.001680
instance5	12979	ratio value/weightOfMostFullDimension descending	Static	0.002658
instance5	12978	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001652
instance5	12978	ratio value/weightOfMostFullDimension descending	Dynamic	0.002866
instance6	23719	ratio value/totalWeight descending	Dynamic	0.000810
instance6	23085	ratio value/totalWeight descending	Static	0.000846
instance6	19861	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001752
instance6	19861	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002242
instance6	18907	ratio value/weightOfMostFullDimension crescent	Static	0.002310
instance6	18907	ratio value/weightOfMostCriticalDimension crescent	Static	0.001830
instance6	17788	descending	Static	0.000424
instance6	17788	descending	Dynamic	0.000310
instance6	17781	random	Static	0.000620
instance6	16712	random	Dynamic	0.000578
instance6	15830	crescent	Static	0.000450
instance6	15162	crescent	Dynamic	0.000360
instance6	14090	ratio value/weightOfMostCriticalDimension descending	Static	0.001582
instance6	14090	ratio value/weightOfMostFullDimension descending	Static	0.002594
instance6	13268	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001704
instance6	13268	ratio value/weightOfMostFullDimension descending	Dynamic	0.002754
instance6	11222	ratio value/totalWeight crescent	Static	0.000814
