Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance1 		20987			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001592
instance1 		20233			ratio value/totalWeight descending                  			Static 			0.000794
instance1 		19780			ratio value/totalWeight descending                  			Dynamic			0.000804
instance1 		19696			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001580
instance1 		18166			descending                                          			Static 			0.000314
instance1 		18166			descending                                          			Dynamic			0.000320
instance1 		17982			random                                              			Dynamic			0.000478
instance1 		16149			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001848
instance1 		15673			ratio value/weightOfMostFullDimension descending    			Static 			0.001910
instance1 		15178			ratio value/weightOfMostFullDimension crescent      			Static 			0.002096
instance1 		14295			crescent                                            			Static 			0.000368
instance1 		14085			ratio value/totalWeight crescent                    			Dynamic			0.000798
instance1 		13752			random                                              			Static 			0.000442
instance1 		13641			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001616
instance1 		13246			ratio value/weightOfMostCriticalDimension descending			Static 			0.001882
instance1 		13197			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002098
instance1 		12834			ratio value/totalWeight crescent                    			Static 			0.000870
instance1 		12805			crescent                                            			Dynamic			0.000358
instance2 		22280			ratio value/totalWeight descending                  			Dynamic			0.000792
instance2 		21556			ratio value/totalWeight descending                  			Static 			0.000888
instance2 		19376			descending                                          			Static 			0.000294
instance2 		19376			descending                                          			Dynamic			0.000312
instance2 		18476			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001660
instance2 		17051			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001544
instance2 		16772			crescent                                            			Dynamic			0.000368
instance2 		15991			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001780
instance2 		15918			ratio value/weightOfMostCriticalDimension descending			Static 			0.001590
instance2 		15719			random                                              			Dynamic			0.000442
instance2 		15416			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002016
instance2 		15416			ratio value/weightOfMostFullDimension descending    			Static 			0.001934
instance2 		15366			random                                              			Static 			0.000380
instance2 		15317			ratio value/weightOfMostFullDimension crescent      			Static 			0.002004
instance2 		15187			crescent                                            			Static 			0.000324
instance2 		14262			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001678
instance2 		13639			ratio value/totalWeight crescent                    			Dynamic			0.000916
instance2 		13314			ratio value/totalWeight crescent                    			Static 			0.000778
instance3 		21542			ratio value/totalWeight descending                  			Dynamic			0.000868
instance3 		21074			ratio value/totalWeight descending                  			Static 			0.000702
instance3 		20629			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001530
instance3 		20289			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001464
instance3 		18007			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002132
instance3 		17128			descending                                          			Dynamic			0.000464
instance3 		17128			descending                                          			Static 			0.000278
instance3 		15961			random                                              			Dynamic			0.000378
instance3 		15239			random                                              			Static 			0.000390
instance3 		14961			ratio value/weightOfMostFullDimension descending    			Static 			0.001982
instance3 		14668			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002336
instance3 		14307			crescent                                            			Static 			0.000314
instance3 		14098			ratio value/weightOfMostFullDimension crescent      			Static 			0.002336
instance3 		13491			crescent                                            			Dynamic			0.000372
instance3 		12498			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001664
instance3 		12215			ratio value/totalWeight crescent                    			Static 			0.000888
instance3 		12184			ratio value/weightOfMostCriticalDimension descending			Static 			0.001758
instance3 		11607			ratio value/totalWeight crescent                    			Dynamic			0.000838
instance4 		21046			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001498
instance4 		20222			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001546
instance4 		19676			descending                                          			Static 			0.000278
instance4 		19676			descending                                          			Dynamic			0.000336
instance4 		19491			ratio value/weightOfMostFullDimension descending    			Static 			0.002076
instance4 		19491			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001982
instance4 		17210			random                                              			Static 			0.000394
instance4 		17194			random                                              			Dynamic			0.000416
instance4 		16936			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001966
instance4 		15522			ratio value/totalWeight descending                  			Static 			0.000712
instance4 		15494			ratio value/weightOfMostFullDimension crescent      			Static 			0.002162
instance4 		15413			crescent                                            			Dynamic			0.000310
instance4 		14846			ratio value/weightOfMostCriticalDimension descending			Static 			0.001486
instance4 		14810			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001482
instance4 		14187			ratio value/totalWeight descending                  			Dynamic			0.000738
instance4 		13944			crescent                                            			Static 			0.000302
instance4 		13187			ratio value/totalWeight crescent                    			Static 			0.000870
instance4 		10860			ratio value/totalWeight crescent                    			Dynamic			0.000702
instance5 		21084			ratio value/totalWeight descending                  			Dynamic			0.000898
instance5 		20118			descending                                          			Dynamic			0.000346
instance5 		20118			descending                                          			Static 			0.000308
instance5 		19545			ratio value/totalWeight descending                  			Static 			0.000762
instance5 		18536			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001754
instance5 		17876			ratio value/weightOfMostFullDimension descending    			Static 			0.001994
instance5 		17080			random                                              			Dynamic			0.000394
instance5 		16792			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001972
instance5 		16467			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001894
instance5 		16165			random                                              			Static 			0.000398
instance5 		16050			ratio value/weightOfMostFullDimension crescent      			Static 			0.002224
instance5 		15319			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002136
instance5 		14705			crescent                                            			Dynamic			0.000326
instance5 		14331			crescent                                            			Static 			0.000352
instance5 		13681			ratio value/totalWeight crescent                    			Dynamic			0.000774
instance5 		13136			ratio value/totalWeight crescent                    			Static 			0.000788
instance5 		12979			ratio value/weightOfMostCriticalDimension descending			Static 			0.001716
instance5 		12978			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001802
instance6 		23719			ratio value/totalWeight descending                  			Dynamic			0.000844
instance6 		23085			ratio value/totalWeight descending                  			Static 			0.000776
instance6 		19861			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001840
instance6 		19525			random                                              			Static 			0.000506
instance6 		18907			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001704
instance6 		18310			random                                              			Dynamic			0.000544
instance6 		17788			descending                                          			Static 			0.000358
instance6 		17788			descending                                          			Dynamic			0.000328
instance6 		16070			ratio value/weightOfMostFullDimension crescent      			Static 			0.002096
instance6 		15968			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002200
instance6 		15926			ratio value/weightOfMostFullDimension descending    			Static 			0.002254
instance6 		15830			crescent                                            			Static 			0.000326
instance6 		15274			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002134
instance6 		15162			crescent                                            			Dynamic			0.000302
instance6 		14090			ratio value/weightOfMostCriticalDimension descending			Static 			0.001872
instance6 		13268			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001560
instance6 		11222			ratio value/totalWeight crescent                    			Static 			0.000756
instance6 		10565			ratio value/totalWeight crescent                    			Dynamic			0.000830
instance7 		22787			ratio value/totalWeight descending                  			Static 			0.000836
instance7 		22383			ratio value/totalWeight descending                  			Dynamic			0.000844
instance7 		22308			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001712
instance7 		21474			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001582
instance7 		21315			descending                                          			Static 			0.000382
instance7 		21315			descending                                          			Dynamic			0.000348
instance7 		19564			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002178
instance7 		18347			ratio value/weightOfMostFullDimension descending    			Static 			0.001922
instance7 		17737			ratio value/weightOfMostFullDimension crescent      			Static 			0.002322
instance7 		17684			random                                              			Static 			0.000468
instance7 		17640			random                                              			Dynamic			0.000488
instance7 		17006			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002252
instance7 		16274			crescent                                            			Static 			0.000440
instance7 		15765			crescent                                            			Dynamic			0.000436
instance7 		15079			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001820
instance7 		14367			ratio value/weightOfMostCriticalDimension descending			Static 			0.001758
instance7 		13664			ratio value/totalWeight crescent                    			Dynamic			0.000738
instance7 		13272			ratio value/totalWeight crescent                    			Static 			0.000752
instance8 		21911			ratio value/totalWeight descending                  			Dynamic			0.000858
instance8 		21249			ratio value/totalWeight descending                  			Static 			0.000908
instance8 		19064			descending                                          			Static 			0.000406
instance8 		19064			descending                                          			Dynamic			0.000314
instance8 		18350			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001724
instance8 		17837			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001838
instance8 		17534			ratio value/weightOfMostFullDimension descending    			Static 			0.001758
instance8 		17219			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001518
instance8 		16179			random                                              			Dynamic			0.000470
instance8 		16097			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002388
instance8 		15796			random                                              			Static 			0.000446
instance8 		15302			crescent                                            			Dynamic			0.000440
instance8 		15151			ratio value/weightOfMostFullDimension crescent      			Static 			0.001824
instance8 		14734			crescent                                            			Static 			0.000398
instance8 		13997			ratio value/weightOfMostCriticalDimension descending			Static 			0.001528
instance8 		13560			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001554
instance8 		13177			ratio value/totalWeight crescent                    			Dynamic			0.000752
instance8 		13056			ratio value/totalWeight crescent                    			Static 			0.000708
instance9 		21614			ratio value/totalWeight descending                  			Dynamic			0.000880
instance9 		20864			ratio value/totalWeight descending                  			Static 			0.000756
instance9 		19343			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001498
instance9 		19213			ratio value/weightOfMostFullDimension descending    			Static 			0.002024
instance9 		19213			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002022
instance9 		18637			descending                                          			Dynamic			0.000360
instance9 		18637			descending                                          			Static 			0.000346
instance9 		18460			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001490
instance9 		17715			random                                              			Static 			0.000484
instance9 		17505			random                                              			Dynamic			0.000568
instance9 		16246			ratio value/weightOfMostFullDimension crescent      			Static 			0.001940
instance9 		15702			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001808
instance9 		14987			ratio value/weightOfMostCriticalDimension descending			Static 			0.001824
instance9 		14476			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001732
instance9 		14093			crescent                                            			Static 			0.000454
instance9 		13642			crescent                                            			Dynamic			0.000388
instance9 		12356			ratio value/totalWeight crescent                    			Static 			0.000864
instance9 		10576			ratio value/totalWeight crescent                    			Dynamic			0.000850
instance10 		23705			ratio value/totalWeight descending                  			Dynamic			0.000748
instance10 		22150			ratio value/totalWeight descending                  			Static 			0.000828
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001722
instance10 		21147			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001798
instance10 		20588			descending                                          			Static 			0.000300
instance10 		20588			descending                                          			Dynamic			0.000302
instance10 		20348			ratio value/weightOfMostFullDimension descending    			Static 			0.002136
instance10 		20348			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002042
instance10 		18827			random                                              			Static 			0.000442
instance10 		18207			random                                              			Dynamic			0.000428
instance10 		15973			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002162
instance10 		15427			ratio value/weightOfMostFullDimension crescent      			Static 			0.002154
instance10 		15357			crescent                                            			Static 			0.000324
instance10 		14878			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001568
instance10 		14641			crescent                                            			Dynamic			0.000324
instance10 		13207			ratio value/totalWeight crescent                    			Dynamic			0.000798
instance10 		13152			ratio value/weightOfMostCriticalDimension descending			Static 			0.001726
instance10 		12946			ratio value/totalWeight crescent                    			Static 			0.000858
instance11 		41331			ratio value/totalWeight descending                  			Static 			0.000812
instance11 		41331			ratio value/totalWeight descending                  			Dynamic			0.000854
instance11 		39979			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001462
instance11 		39535			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001466
instance11 		37822			descending                                          			Static 			0.000388
instance11 		37822			descending                                          			Dynamic			0.000568
instance11 		36760			ratio value/weightOfMostFullDimension descending    			Static 			0.002032
