Instance	Objective	Duration (in s)
instance1	18822	0.000498
instance2	16411	0.000478
instance3	15826	0.000466
instance4	17465	0.000436
instance5	17418	0.000448
instance6	16320	0.000444
instance7	19672	0.000452
instance8	17087	0.000492
instance9	16967	0.000434
instance10	16583	0.000500
instance11	32959	0.000538
instance12	36318	0.000560
instance13	33555	0.000694
instance14	38059	0.000602
instance15	33555	0.000540
instance16	30793	0.000552
instance17	34608	0.000552
instance18	32999	0.000666
instance19	33939	0.000590
instance20	35091	0.000532
instance21	53086	0.000588
instance22	55522	0.000644
instance23	53566	0.000632
instance24	55324	0.000596
instance25	52834	0.000690
instance26	52068	0.000614
instance27	55106	0.000662
instance28	54327	0.000612
instance29	49552	0.000660
instance30	52476	0.000692
instance1	20987	0.001714
instance1	20987	0.002698
instance1	20233	0.000884
instance1	19780	0.000960
instance1	19696	0.001762
instance1	19696	0.002304
instance1	18166	0.000370
instance1	18166	0.000316
instance1	14295	0.000570
instance1	14085	0.000750
instance1	14016	0.000492
instance1	13932	0.000554
instance1	13641	0.001892
instance1	13641	0.002748
instance1	13246	0.002768
instance1	13246	0.002012
instance1	12834	0.001002
instance1	12805	0.000452
instance2	22280	0.000802
instance2	21556	0.000792
instance2	19376	0.000276
instance2	19376	0.000342
instance2	18476	0.001796
instance2	18476	0.002848
instance2	17750	0.000502
instance2	17671	0.000486
instance2	17051	0.001998
instance2	17051	0.002590
instance2	16772	0.000346
instance2	15918	0.001676
instance2	15918	0.002650
instance2	15187	0.000344
instance2	14262	0.001866
instance2	14262	0.002654
instance2	13639	0.000756
instance2	13314	0.000756
instance3	21542	0.000840
instance3	21074	0.000922
instance3	20629	0.001544
instance3	20629	0.002446
instance3	20289	0.001480
instance3	20289	0.002374
instance3	17128	0.000296
instance3	17128	0.000326
instance3	15199	0.000482
instance3	15146	0.000464
instance3	14307	0.000390
instance3	13491	0.000338
instance3	12498	0.001582
instance3	12498	0.002438
instance3	12215	0.000878
instance3	12184	0.002478
instance3	12184	0.001802
instance3	11607	0.000798
instance4	21046	0.001748
instance4	21046	0.002320
instance4	20222	0.002428
instance4	20222	0.001704
instance4	19676	0.000294
instance4	19676	0.000298
instance4	19072	0.000580
instance4	17924	0.000536
instance4	15522	0.000932
instance4	15413	0.000470
instance4	14846	0.001910
instance4	14846	0.002628
instance4	14810	0.002108
instance4	14810	0.002818
instance4	14187	0.001026
instance4	13944	0.000454
instance4	13187	0.000776
instance4	10860	0.000740
instance5	21084	0.000860
instance5	20118	0.000338
instance5	20118	0.000328
instance5	19545	0.000912
instance5	18536	0.001824
instance5	18536	0.002730
instance5	18046	0.000618
instance5	16982	0.000634
instance5	16467	0.001600
instance5	16467	0.002694
instance5	14705	0.000370
instance5	14331	0.000366
instance5	13681	0.000878
instance5	13136	0.000824
instance5	12979	0.001680
instance5	12979	0.002658
instance5	12978	0.001652
instance5	12978	0.002866
instance6	23719	0.000810
instance6	23085	0.000846
instance6	19861	0.001752
instance6	19861	0.002242
instance6	18907	0.002310
instance6	18907	0.001830
instance6	17788	0.000424
instance6	17788	0.000310
instance6	17781	0.000620
instance6	16712	0.000578
instance6	15830	0.000450
instance6	15162	0.000360
instance6	14090	0.001582
instance6	14090	0.002594
instance6	13268	0.001704
instance6	13268	0.002754
instance6	11222	0.000814
instance6	10565	0.000768
instance7	22787	0.000768
instance7	22383	0.000868
instance7	22308	0.001892
instance7	22308	0.002850
instance7	21474	0.001758
instance7	21474	0.002106
instance7	21315	0.000354
instance7	21315	0.000272
instance7	18875	0.000494
instance7	16955	0.000468
instance7	16274	0.000300
instance7	15765	0.000332
instance7	15079	0.001824
instance7	15079	0.002430
instance7	14367	0.002586
instance7	14367	0.001520
instance7	13664	0.000664
instance7	13272	0.000740
instance8	21911	0.000768
instance8	21249	0.000744
instance8	19064	0.000310
instance8	19064	0.000332
instance8	17837	0.001654
instance8	17837	0.002520
instance8	17219	0.002386
instance8	17219	0.001834
instance8	17093	0.000450
instance8	16565	0.000402
instance8	15302	0.000372
instance8	14734	0.000422
instance8	13997	0.001782
instance8	13997	0.002610
instance8	13560	0.001794
instance8	13560	0.002484
instance8	13177	0.000832
instance8	13056	0.000744
instance9	21614	0.000834
instance9	20864	0.000946
instance9	19343	0.001764
instance9	19343	0.002492
instance9	18637	0.000312
instance9	18637	0.000342
instance9	18460	0.002522
instance9	18460	0.001598
instance9	17517	0.000540
instance9	16910	0.000484
instance9	14987	0.001836
instance9	14987	0.002620
instance9	14476	0.001704
instance9	14476	0.002312
instance9	14093	0.000538
instance9	13642	0.000440
instance9	12356	0.000820
instance9	10576	0.000788
instance10	23705	0.000810
instance10	22150	0.000852
instance10	21147	0.001712
instance10	21147	0.001650
instance10	21147	0.001700
instance10	21147	0.001846
instance10	20588	0.000396
instance10	20588	0.000368
instance10	16888	0.000496
instance10	15357	0.000374
instance10	14878	0.001598
instance10	14878	0.002012
instance10	14645	0.000464
instance10	14641	0.000374
instance10	13207	0.000724
instance10	13152	0.002100
instance10	13152	0.001494
instance10	12946	0.000862
instance11	41331	0.000694
instance11	41331	0.000772
instance11	39979	0.001340
instance11	39979	0.002308
instance11	39535	0.001396
instance11	39535	0.002400
instance11	37822	0.000410
instance11	37822	0.000334
instance11	34331	0.000446
instance11	33953	0.000464
instance11	33510	0.000406
instance11	31373	0.000550
instance11	30306	0.002044
instance11	30306	0.002180
instance11	30306	0.001912
instance11	30306	0.001332
instance11	30115	0.000844
instance11	29594	0.000586
instance12	40362	0.000682
instance12	39967	0.001262
instance12	39967	0.002306
instance12	38754	0.000688
instance12	38164	0.002298
instance12	38164	0.001666
instance12	34569	0.000348
instance12	34569	0.000392
instance12	33280	0.000458
instance12	32588	0.000466
instance12	28714	0.000560
instance12	28597	0.001916
instance12	28597	0.002580
instance12	28597	0.001712
instance12	28597	0.001646
instance12	28506	0.000710
instance12	27800	0.000400
instance12	27326	0.000388
instance13	39471	0.000986
instance13	38886	0.000938
instance13	37757	0.001788
instance13	37757	0.002164
instance13	37613	0.002264
instance13	37613	0.001922
instance13	37474	0.000492
instance13	37474	0.000504
instance13	34390	0.000618
instance13	34376	0.000532
instance13	32361	0.000460
instance13	31567	0.000508
instance13	29708	0.001678
instance13	29708	0.002160
instance13	28055	0.001734
instance13	28055	0.002560
instance13	26233	0.000996
instance13	24735	0.000958
instance14	41106	0.000566
instance14	41106	0.000772
instance14	39721	0.001910
instance14	39721	0.002036
instance14	39721	0.002846
instance14	39721	0.002832
instance14	38227	0.000264
instance14	38227	0.000486
instance14	34551	0.000332
instance14	34551	0.000326
instance14	32528	0.000466
instance14	31309	0.001938
instance14	31309	0.002596
instance14	29580	0.000308
instance14	29382	0.002604
instance14	29382	0.001896
instance14	28894	0.001026
instance14	28749	0.000936
instance15	39319	0.001088
instance15	38870	0.000958
instance15	37223	0.001970
instance15	37223	0.002650
