Instance  		Objective		Duration (in s)
instance1 		20987			0.001592
instance1 		20233			0.000794
instance1 		19780			0.000804
instance1 		19696			0.001580
instance1 		18166			0.000314
instance1 		18166			0.000320
instance1 		17982			0.000478
instance1 		16149			0.001848
instance1 		15673			0.001910
instance1 		15178			0.002096
instance1 		14295			0.000368
instance1 		14085			0.000798
instance1 		13752			0.000442
instance1 		13641			0.001616
instance1 		13246			0.001882
instance1 		13197			0.002098
instance1 		12834			0.000870
instance1 		12805			0.000358
instance2 		22280			0.000792
instance2 		21556			0.000888
instance2 		19376			0.000294
instance2 		19376			0.000312
instance2 		18476			0.001660
instance2 		17051			0.001544
instance2 		16772			0.000368
instance2 		15991			0.001780
instance2 		15918			0.001590
instance2 		15719			0.000442
instance2 		15416			0.002016
instance2 		15416			0.001934
instance2 		15366			0.000380
instance2 		15317			0.002004
instance2 		15187			0.000324
instance2 		14262			0.001678
instance2 		13639			0.000916
instance2 		13314			0.000778
instance3 		21542			0.000868
instance3 		21074			0.000702
instance3 		20629			0.001530
instance3 		20289			0.001464
instance3 		18007			0.002132
instance3 		17128			0.000464
instance3 		17128			0.000278
instance3 		15961			0.000378
instance3 		15239			0.000390
instance3 		14961			0.001982
instance3 		14668			0.002336
instance3 		14307			0.000314
instance3 		14098			0.002336
instance3 		13491			0.000372
instance3 		12498			0.001664
instance3 		12215			0.000888
instance3 		12184			0.001758
instance3 		11607			0.000838
instance4 		21046			0.001498
instance4 		20222			0.001546
instance4 		19676			0.000278
instance4 		19676			0.000336
instance4 		19491			0.002076
instance4 		19491			0.001982
instance4 		17210			0.000394
instance4 		17194			0.000416
instance4 		16936			0.001966
instance4 		15522			0.000712
instance4 		15494			0.002162
instance4 		15413			0.000310
instance4 		14846			0.001486
instance4 		14810			0.001482
instance4 		14187			0.000738
instance4 		13944			0.000302
instance4 		13187			0.000870
instance4 		10860			0.000702
instance5 		21084			0.000898
instance5 		20118			0.000346
instance5 		20118			0.000308
instance5 		19545			0.000762
instance5 		18536			0.001754
instance5 		17876			0.001994
instance5 		17080			0.000394
instance5 		16792			0.001972
instance5 		16467			0.001894
instance5 		16165			0.000398
instance5 		16050			0.002224
instance5 		15319			0.002136
instance5 		14705			0.000326
instance5 		14331			0.000352
instance5 		13681			0.000774
instance5 		13136			0.000788
instance5 		12979			0.001716
instance5 		12978			0.001802
instance6 		23719			0.000844
instance6 		23085			0.000776
instance6 		19861			0.001840
instance6 		19525			0.000506
instance6 		18907			0.001704
instance6 		18310			0.000544
instance6 		17788			0.000358
instance6 		17788			0.000328
instance6 		16070			0.002096
instance6 		15968			0.002200
instance6 		15926			0.002254
instance6 		15830			0.000326
instance6 		15274			0.002134
instance6 		15162			0.000302
instance6 		14090			0.001872
instance6 		13268			0.001560
instance6 		11222			0.000756
instance6 		10565			0.000830
instance7 		22787			0.000836
instance7 		22383			0.000844
instance7 		22308			0.001712
instance7 		21474			0.001582
instance7 		21315			0.000382
instance7 		21315			0.000348
instance7 		19564			0.002178
instance7 		18347			0.001922
instance7 		17737			0.002322
instance7 		17684			0.000468
instance7 		17640			0.000488
instance7 		17006			0.002252
instance7 		16274			0.000440
instance7 		15765			0.000436
instance7 		15079			0.001820
instance7 		14367			0.001758
instance7 		13664			0.000738
instance7 		13272			0.000752
instance8 		21911			0.000858
instance8 		21249			0.000908
instance8 		19064			0.000406
instance8 		19064			0.000314
instance8 		18350			0.001724
instance8 		17837			0.001838
instance8 		17534			0.001758
instance8 		17219			0.001518
instance8 		16179			0.000470
instance8 		16097			0.002388
instance8 		15796			0.000446
instance8 		15302			0.000440
instance8 		15151			0.001824
instance8 		14734			0.000398
instance8 		13997			0.001528
instance8 		13560			0.001554
instance8 		13177			0.000752
instance8 		13056			0.000708
instance9 		21614			0.000880
instance9 		20864			0.000756
instance9 		19343			0.001498
instance9 		19213			0.002024
instance9 		19213			0.002022
instance9 		18637			0.000360
instance9 		18637			0.000346
instance9 		18460			0.001490
instance9 		17715			0.000484
instance9 		17505			0.000568
instance9 		16246			0.001940
instance9 		15702			0.001808
instance9 		14987			0.001824
instance9 		14476			0.001732
instance9 		14093			0.000454
instance9 		13642			0.000388
instance9 		12356			0.000864
instance9 		10576			0.000850
instance10 		23705			0.000748
instance10 		22150			0.000828
instance10 		21147			0.001722
instance10 		21147			0.001798
instance10 		20588			0.000300
instance10 		20588			0.000302
instance10 		20348			0.002136
instance10 		20348			0.002042
instance10 		18827			0.000442
instance10 		18207			0.000428
instance10 		15973			0.002162
instance10 		15427			0.002154
instance10 		15357			0.000324
instance10 		14878			0.001568
instance10 		14641			0.000324
instance10 		13207			0.000798
instance10 		13152			0.001726
instance10 		12946			0.000858
instance11 		41331			0.000812
instance11 		41331			0.000854
instance11 		39979			0.001462
instance11 		39535			0.001466
instance11 		37822			0.000388
instance11 		37822			0.000568
instance11 		36760			0.002032
instance11 		36760			0.001986
instance11 		35454			0.000554
instance11 		33510			0.000480
instance11 		33167			0.000480
instance11 		32723			0.002012
instance11 		32112			0.001888
instance11 		31373			0.000512
instance11 		30306			0.002068
instance11 		30306			0.001794
instance11 		30115			0.000928
instance11 		29594			0.000888
instance12 		40362			0.000810
instance12 		39967			0.002140
instance12 		38754			0.000860
instance12 		38164			0.002042
instance12 		36937			0.000534
instance12 		36937			0.000476
instance12 		35181			0.002260
instance12 		35181			0.002058
instance12 		34569			0.000344
instance12 		34569			0.000422
instance12 		31121			0.002376
instance12 		29774			0.002110
instance12 		28714			0.000752
instance12 		28597			0.001508
instance12 		28597			0.001962
instance12 		28506			0.000772
instance12 		27800			0.000432
instance12 		27326			0.000448
instance13 		39471			0.000768
instance13 		38886			0.000766
instance13 		37757			0.001588
instance13 		37613			0.001992
instance13 		37474			0.000376
instance13 		37474			0.000410
instance13 		33822			0.001862
instance13 		33607			0.000560
instance13 		33607			0.000618
instance13 		32361			0.000480
instance13 		31567			0.000410
instance13 		31396			0.001988
instance13 		30197			0.001754
instance13 		29708			0.001560
instance13 		29529			0.001778
instance13 		28055			0.001464
instance13 		26233			0.000748
instance13 		24735			0.000738
instance14 		41106			0.000820
instance14 		41106			0.001010
instance14 		39721			0.001894
instance14 		39721			0.001830
instance14 		38227			0.000414
instance14 		38227			0.000406
instance14 		34451			0.000454
instance14 		33261			0.000470
instance14 		32739			0.002190
instance14 		32528			0.000430
instance14 		31309			0.002186
instance14 		30385			0.002264
instance14 		29616			0.002218
instance14 		29580			0.000398
instance14 		29447			0.002510
instance14 		29382			0.002002
instance14 		28894			0.000934
instance14 		28749			0.000862
instance15 		39319			0.001034
instance15 		38870			0.001158
instance15 		37223			0.001672
instance15 		36863			0.001672
instance15 		32673			0.000490
instance15 		31990			0.000528
instance15 		30802			0.000398
instance15 		30802			0.000362
instance15 		30677			0.000464
instance15 		30338			0.002182
instance15 		30196			0.000520
instance15 		30125			0.002138
instance15 		29772			0.002122
instance15 		29772			0.001842
instance15 		29168			0.001702
instance15 		28412			0.000886
instance15 		27906			0.001036
instance15 		27607			0.002212
instance16 		40410			0.000874
instance16 		40320			0.000868
instance16 		38147			0.000428
instance16 		38147			0.000438
instance16 		37007			0.001570
instance16 		36408			0.001460
instance16 		33548			0.002052
instance16 		32150			0.000564
instance16 		32150			0.000644
instance16 		32073			0.002002
instance16 		31783			0.002156
instance16 		31493			0.002148
instance16 		29340			0.000400
instance16 		29020			0.001764
instance16 		28914			0.000908
instance16 		28583			0.001718
instance16 		27016			0.000462
instance16 		26950			0.000890
instance17 		38601			0.000872
instance17 		38004			0.000838
instance17 		37588			0.002118
instance17 		37505			0.001756
instance17 		36831			0.000398
instance17 		36831			0.000450
instance17 		34629			0.000542
instance17 		34617			0.001994
instance17 		33005			0.001924
instance17 		32839			0.002396
instance17 		32809			0.000594
instance17 		31502			0.002048
instance17 		29109			0.000512
instance17 		27468			0.000868
instance17 		27312			0.001934
instance17 		27163			0.000818
instance17 		26529			0.000492
instance17 		25434			0.001872
instance18 		42909			0.000954
instance18 		40471			0.001584
instance18 		38199			0.000878
instance18 		37450			0.001852
instance18 		37286			0.000454
instance18 		37286			0.000390
instance18 		36261			0.000528
instance18 		36261			0.000584
instance18 		34421			0.001986
instance18 		33929			0.002030
instance18 		32901			0.000442
instance18 		32772			0.001994
instance18 		32772			0.002094
instance18 		32752			0.000434
instance18 		30577			0.000800
instance18 		30153			0.001896
instance18 		29766			0.001852
instance18 		29498			0.000902
instance19 		40392			0.000802
instance19 		39700			0.000800
instance19 		38494			0.000358
instance19 		38494			0.000344
instance19 		38045			0.001634
instance19 		38025			0.002096
instance19 		38025			0.002088
instance19 		36955			0.001476
instance19 		34035			0.000378
instance19 		33887			0.002140
instance19 		33440			0.000442
instance19 		33213			0.002240
instance19 		33197			0.000492
instance19 		31078			0.001606
instance19 		31077			0.000480
instance19 		30651			0.001966
instance19 		28728			0.000898
instance19 		28199			0.000920
instance20 		42749			0.000854
instance20 		42040			0.001752
instance20 		42036			0.000846
instance20 		39851			0.001838
instance20 		39560			0.000514
instance20 		39560			0.000460
instance20 		36649			0.000514
instance20 		36157			0.002184
instance20 		36024			0.002168
instance20 		35851			0.000492
instance20 		33142			0.002248
instance20 		32528			0.002340
instance20 		31874			0.000488
instance20 		31168			0.000494
instance20 		30510			0.001768
instance20 		30247			0.001062
instance20 		28976			0.001018
instance20 		28296			0.001448
instance21 		59504			0.000978
instance21 		57171			0.000824
instance21 		56343			0.001704
instance21 		56343			0.001796
instance21 		53947			0.002278
instance21 		53947			0.002152
instance21 		53785			0.000534
instance21 		53785			0.000424
instance21 		53377			0.000716
instance21 		53377			0.000638
instance21 		50575			0.001966
instance21 		49428			0.002118
instance21 		49191			0.001530
instance21 		49038			0.000412
instance21 		48182			0.000416
instance21 		47619			0.001524
instance21 		46318			0.000880
instance21 		45181			0.000816
instance22 		59384			0.001068
instance22 		58892			0.000912
instance22 		57126			0.001698
instance22 		56775			0.000426
instance22 		56775			0.000418
instance22 		56465			0.000516
instance22 		55900			0.002250
instance22 		54605			0.001684
instance22 		54256			0.001616
instance22 		53605			0.002046
instance22 		53449			0.001878
instance22 		53412			0.001994
instance22 		52869			0.002240
instance22 		52449			0.000530
instance22 		51942			0.000532
instance22 		49428			0.000652
instance22 		49049			0.000864
instance22 		47803			0.001006
instance23 		58617			0.000908
instance23 		57911			0.000956
instance23 		57238			0.001900
instance23 		56705			0.001552
instance23 		54255			0.002228
instance23 		53813			0.000450
instance23 		53813			0.000422
instance23 		53638			0.002372
instance23 		52749			0.000574
instance23 		52082			0.000646
instance23 		51664			0.000546
instance23 		50867			0.002276
instance23 		50412			0.000494
instance23 		50359			0.002128
instance23 		50282			0.001832
instance23 		47678			0.000954
instance23 		46701			0.001490
instance23 		45243			0.000966
instance24 		59356			0.000912
instance24 		59032			0.000986
instance24 		57491			0.001876
instance24 		57436			0.002032
instance24 		53953			0.000540
instance24 		53859			0.000428
instance24 		53859			0.000436
instance24 		52884			0.000610
instance24 		51815			0.002022
instance24 		51031			0.001662
instance24 		50936			0.000428
instance24 		50936			0.000416
instance24 		49592			0.002004
instance24 		49320			0.002302
instance24 		49179			0.002320
instance24 		48869			0.000954
instance24 		48174			0.002264
instance24 		46164			0.001022
instance25 		60505			0.000954
instance25 		59858			0.000906
instance25 		57620			0.002046
instance25 		56859			0.001766
instance25 		55517			0.000614
instance25 		55463			0.002188
instance25 		55463			0.002038
instance25 		55134			0.000666
instance25 		54172			0.002052
instance25 		53795			0.000460
instance25 		53795			0.000562
instance25 		53495			0.002172
instance25 		52665			0.000630
instance25 		52099			0.000578
instance25 		51158			0.001730
instance25 		50535			0.001578
instance25 		46447			0.000968
instance25 		46447			0.000920
instance26 		57139			0.001892
instance26 		56862			0.001696
instance26 		56229			0.000964
instance26 		56124			0.000938
instance26 		55040			0.000498
instance26 		55040			0.000452
instance26 		51549			0.000518
instance26 		51549			0.000494
instance26 		50933			0.000704
instance26 		50496			0.001952
instance26 		50398			0.002102
instance26 		50370			0.001998
instance26 		50187			0.000640
instance26 		50039			0.002656
instance26 		48492			0.001534
instance26 		48484			0.001622
instance26 		48427			0.000864
instance26 		48199			0.000890
instance27 		59559			0.000952
instance27 		59559			0.000896
instance27 		58331			0.000482
instance27 		58331			0.000496
instance27 		55311			0.002254
instance27 		55058			0.001648
instance27 		55058			0.001786
instance27 		54048			0.000564
instance27 		54013			0.001902
instance27 		53885			0.002352
instance27 		53764			0.000500
instance27 		53756			0.002218
instance27 		53274			0.001558
instance27 		53127			0.002194
instance27 		52993			0.000478
instance27 		51835			0.000674
instance27 		49990			0.000884
instance27 		49694			0.001002
instance28 		59804			0.000526
instance28 		59804			0.000550
instance28 		59533			0.001770
instance28 		59533			0.001634
instance28 		56973			0.001978
instance28 		56962			0.000968
instance28 		56962			0.000970
instance28 		56509			0.002050
instance28 		54381			0.000656
instance28 		53646			0.000682
instance28 		53267			0.002168
instance28 		52167			0.002040
instance28 		52130			0.000542
instance28 		50840			0.001834
instance28 		50245			0.001804
instance28 		49839			0.000558
instance28 		48698			0.000964
instance28 		48407			0.000844
instance29 		57537			0.000980
instance29 		56360			0.000886
instance29 		55274			0.001950
instance29 		54993			0.001938
instance29 		54330			0.000518
instance29 		53994			0.000472
instance29 		53994			0.000562
instance29 		53978			0.000662
instance29 		53695			0.002130
instance29 		53104			0.001694
instance29 		49283			0.001866
instance29 		49283			0.002142
instance29 		49140			0.002116
instance29 		48958			0.000514
instance29 		48439			0.002250
instance29 		48094			0.000920
instance29 		46948			0.001074
instance29 		46545			0.000572
instance30 		58878			0.000862
instance30 		58878			0.001064
instance30 		57551			0.001920
instance30 		57201			0.001738
instance30 		55775			0.000644
instance30 		55775			0.000508
instance30 		54040			0.002478
instance30 		54040			0.002134
instance30 		53823			0.000778
instance30 		52864			0.001990
instance30 		52755			0.000586
instance30 		52737			0.000430
instance30 		51865			0.002108
instance30 		49876			0.000418
instance30 		49639			0.000914
instance30 		48565			0.001816
instance30 		48086			0.001896
instance30 		47492			0.001086
instance1 		20987			0.001594
instance1 		20987			0.003090
instance1 		20233			0.000906
instance1 		19780			0.000876
instance1 		19696			0.001582
instance1 		19696			0.002750
instance1 		18166			0.000368
instance1 		18166			0.000366
instance1 		18118			0.000544
instance1 		17797			0.000572
instance1 		14295			0.000366
instance1 		14085			0.001076
instance1 		13641			0.001656
instance1 		13641			0.003070
instance1 		13246			0.002724
instance1 		13246			0.002120
instance1 		12834			0.000744
instance1 		12805			0.000360
instance2 		22280			0.001008
instance2 		21556			0.000972
instance2 		19376			0.000450
instance2 		19376			0.000374
instance2 		18476			0.001610
instance2 		18476			0.002626
instance2 		18233			0.000516
instance2 		17133			0.000496
instance2 		17051			0.001874
instance2 		17051			0.002340
instance2 		16772			0.000474
instance2 		15918			0.002046
instance2 		15918			0.003084
instance2 		15187			0.000534
instance2 		14262			0.001816
instance2 		14262			0.002968
instance2 		13639			0.001018
instance2 		13314			0.000984
instance3 		21542			0.000896
instance3 		21074			0.000912
instance3 		20629			0.001620
instance3 		20629			0.002354
instance3 		20289			0.001888
instance3 		20289			0.002128
instance3 		17128			0.000438
instance3 		17128			0.000414
instance3 		17095			0.000464
instance3 		16637			0.000418
instance3 		14307			0.000444
instance3 		13491			0.000458
instance3 		12498			0.001582
instance3 		12498			0.002526
instance3 		12215			0.000946
instance3 		12184			0.002332
instance3 		12184			0.001630
instance3 		11607			0.000924
instance4 		21046			0.001376
instance4 		21046			0.002388
instance4 		20222			0.002498
instance4 		20222			0.001956
instance4 		19676			0.000404
instance4 		19676			0.000312
instance4 		18957			0.000418
instance4 		18957			0.000450
instance4 		15522			0.000850
instance4 		15413			0.000352
instance4 		14846			0.001620
instance4 		14846			0.002368
instance4 		14810			0.001468
instance4 		14810			0.002318
instance4 		14187			0.000994
instance4 		13944			0.000380
instance4 		13187			0.000802
instance4 		10860			0.000816
instance5 		21084			0.000770
instance5 		20118			0.000340
instance5 		20118			0.000324
instance5 		19545			0.000796
instance5 		18536			0.001582
instance5 		18536			0.002244
instance5 		16467			0.001774
instance5 		16467			0.002236
instance5 		15663			0.000466
instance5 		15618			0.000368
instance5 		14705			0.000448
instance5 		14331			0.000346
instance5 		13681			0.000750
instance5 		13136			0.000718
instance5 		12979			0.001812
instance5 		12979			0.002698
instance5 		12978			0.001732
instance5 		12978			0.002448
instance6 		23719			0.000700
instance6 		23085			0.000696
instance6 		19861			0.001810
instance6 		19861			0.002734
instance6 		18907			0.002534
instance6 		18907			0.001724
instance6 		17788			0.000362
instance6 		17788			0.000352
instance6 		17307			0.000548
instance6 		16627			0.000496
instance6 		15830			0.000366
instance6 		15162			0.000332
instance6 		14090			0.001524
instance6 		14090			0.002170
instance6 		13268			0.001842
instance6 		13268			0.002420
instance6 		11222			0.000822
instance6 		10565			0.000986
instance7 		22787			0.000996
instance7 		22383			0.000950
instance7 		22308			0.001536
instance7 		22308			0.002956
instance7 		21474			0.002022
instance7 		21474			0.002736
instance7 		21315			0.000360
instance7 		21315			0.000326
instance7 		18748			0.000482
instance7 		18138			0.000626
instance7 		16274			0.000326
instance7 		15765			0.000342
instance7 		15079			0.001900
instance7 		15079			0.002412
instance7 		14367			0.002702
instance7 		14367			0.002376
instance7 		13664			0.000998
instance7 		13272			0.000916
instance8 		21911			0.000786
instance8 		21249			0.000828
instance8 		19064			0.000288
instance8 		19064			0.000502
instance8 		17837			0.001522
instance8 		17837			0.002250
instance8 		17219			0.002254
instance8 		17219			0.001802
instance8 		15302			0.000430
instance8 		15168			0.000436
instance8 		15168			0.000440
instance8 		14734			0.000434
instance8 		13997			0.002128
instance8 		13997			0.002562
instance8 		13560			0.001784
instance8 		13560			0.002258
instance8 		13177			0.000728
instance8 		13056			0.000828
instance9 		21614			0.000884
instance9 		20864			0.000908
instance9 		19343			0.001886
instance9 		19343			0.002320
instance9 		18637			0.000322
instance9 		18637			0.000306
instance9 		18460			0.002310
instance9 		18460			0.002070
instance9 		15423			0.000526
instance9 		14987			0.001772
instance9 		14987			0.002392
instance9 		14813			0.000418
instance9 		14476			0.001816
instance9 		14476			0.002140
instance9 		14093			0.000374
instance9 		13642			0.000426
instance9 		12356			0.000774
instance9 		10576			0.000802
instance10 		23705			0.001062
instance10 		22150			0.001030
instance10 		21147			0.001916
instance10 		21147			0.001672
instance10 		21147			0.002812
instance10 		21147			0.002746
instance10 		20588			0.000360
instance10 		20588			0.000338
instance10 		18415			0.000402
instance10 		18415			0.000366
instance10 		15357			0.000298
instance10 		14878			0.001616
instance10 		14878			0.002176
instance10 		14641			0.000282
instance10 		13207			0.000866
instance10 		13152			0.002374
instance10 		13152			0.001750
instance10 		12946			0.000752
instance11 		41331			0.000994
instance11 		41331			0.000992
instance11 		39979			0.001924
instance11 		39979			0.002448
instance11 		39535			0.001956
instance11 		39535			0.003000
instance11 		37822			0.000440
instance11 		37822			0.000468
instance11 		33521			0.000618
instance11 		33510			0.000534
instance11 		32257			0.000578
instance11 		31373			0.000578
instance11 		30306			0.002428
instance11 		30306			0.002886
instance11 		30306			0.002168
instance11 		30306			0.002052
instance11 		30115			0.000836
instance11 		29594			0.000944
instance12 		40362			0.000924
instance12 		39967			0.001934
instance12 		39967			0.002678
instance12 		38754			0.000938
instance12 		38164			0.002794
instance12 		38164			0.001874
instance12 		34569			0.000412
instance12 		34569			0.000462
instance12 		33027			0.000646
instance12 		32613			0.000616
instance12 		28714			0.000786
instance12 		28597			0.002890
instance12 		28597			0.002496
instance12 		28597			0.001552
instance12 		28597			0.001842
instance12 		28506			0.000970
instance12 		27800			0.000404
instance12 		27326			0.000404
instance13 		39471			0.000848
instance13 		38886			0.000812
instance13 		37757			0.001896
instance13 		37757			0.002556
instance13 		37613			0.002386
instance13 		37613			0.001832
instance13 		37474			0.000432
instance13 		37474			0.000402
instance13 		32361			0.000444
instance13 		31567			0.000434
instance13 		31315			0.000588
instance13 		29845			0.000620
instance13 		29708			0.002020
instance13 		29708			0.002778
instance13 		28055			0.001914
instance13 		28055			0.002622
instance13 		26233			0.000916
instance13 		24735			0.000932
instance14 		41106			0.001048
