Instance	Objective	Scheduling	Heuristic	Duration (in s)
instance1	20987	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001540
instance1	20987	ratio value/weightOfMostFullDimension crescent	Static 	0.002296
instance1	20233	ratio value/totalWeight descending	Static 	0.000864
instance1	19780	ratio value/totalWeight descending	Dynamic	0.000772
instance1	19696	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001532
instance1	19696	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002260
instance1	18166	descending	Static 	0.000344
instance1	18166	descending	Dynamic	0.000358
instance1	16888	random	Static 	0.000598
instance1	15921	random	Dynamic	0.000588
instance1	14295	crescent	Static 	0.000380
instance1	14085	ratio value/totalWeight crescent	Dynamic	0.000770
instance1	13641	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001670
instance1	13641	ratio value/weightOfMostFullDimension descending	Dynamic	0.002402
instance1	13246	ratio value/weightOfMostFullDimension descending	Static 	0.002452
instance1	13246	ratio value/weightOfMostCriticalDimension descending	Static 	0.001884
instance1	12834	ratio value/totalWeight crescent	Static 	0.000810
instance1	12805	crescent	Dynamic	0.000420
instance2	22280	ratio value/totalWeight descending	Dynamic	0.000888
instance2	21556	ratio value/totalWeight descending	Static 	0.000820
instance2	19376	descending	Static 	0.000298
instance2	19376	descending	Dynamic	0.000306
instance2	18476	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001560
instance2	18476	ratio value/weightOfMostFullDimension crescent	Static 	0.002228
instance2	17360	random	Dynamic	0.000506
instance2	17051	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001510
instance2	17051	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002434
instance2	16944	random	Static 	0.000528
instance2	16772	crescent	Dynamic	0.000348
instance2	15918	ratio value/weightOfMostCriticalDimension descending	Static 	0.001768
instance2	15918	ratio value/weightOfMostFullDimension descending	Static 	0.002320
instance2	15187	crescent	Static 	0.000376
instance2	14262	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001722
instance2	14262	ratio value/weightOfMostFullDimension descending	Dynamic	0.002186
instance2	13639	ratio value/totalWeight crescent	Dynamic	0.000792
instance2	13314	ratio value/totalWeight crescent	Static 	0.000914
instance3	21542	ratio value/totalWeight descending	Dynamic	0.000932
instance3	21074	ratio value/totalWeight descending	Static 	0.000912
instance3	20629	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001476
instance3	20629	ratio value/weightOfMostFullDimension crescent	Static 	0.002240
instance3	20289	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001502
instance3	20289	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002386
instance3	17128	descending	Static 	0.000326
instance3	17128	descending	Dynamic	0.000308
instance3	17089	random	Dynamic	0.000524
instance3	16160	random	Static 	0.000544
instance3	14307	crescent	Static 	0.000346
instance3	13491	crescent	Dynamic	0.000424
instance3	12498	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001668
instance3	12498	ratio value/weightOfMostFullDimension descending	Dynamic	0.002256
instance3	12215	ratio value/totalWeight crescent	Static 	0.000850
instance3	12184	ratio value/weightOfMostFullDimension descending	Static 	0.002324
instance3	12184	ratio value/weightOfMostCriticalDimension descending	Static 	0.001708
instance3	11607	ratio value/totalWeight crescent	Dynamic	0.000746
instance4	21046	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001526
instance4	21046	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002540
instance4	20222	ratio value/weightOfMostFullDimension crescent	Static 	0.002538
instance4	20222	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001596
instance4	19676	descending	Static 	0.000382
instance4	19676	descending	Dynamic	0.000354
instance4	17469	random	Static 	0.000614
instance4	16287	random	Dynamic	0.000652
instance4	15522	ratio value/totalWeight descending	Static 	0.000880
instance4	15413	crescent	Dynamic	0.000416
instance4	14846	ratio value/weightOfMostCriticalDimension descending	Static 	0.001688
instance4	14846	ratio value/weightOfMostFullDimension descending	Static 	0.002458
instance4	14810	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001750
instance4	14810	ratio value/weightOfMostFullDimension descending	Dynamic	0.002406
instance4	14187	ratio value/totalWeight descending	Dynamic	0.000954
instance4	13944	crescent	Static 	0.000380
instance4	13187	ratio value/totalWeight crescent	Static 	0.000842
instance4	10860	ratio value/totalWeight crescent	Dynamic	0.000854
instance5	21084	ratio value/totalWeight descending	Dynamic	0.000780
instance5	20118	descending	Dynamic	0.000352
instance5	20118	descending	Static 	0.000398
instance5	19545	ratio value/totalWeight descending	Static 	0.000772
instance5	18536	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001644
instance5	18536	ratio value/weightOfMostFullDimension crescent	Static 	0.002704
instance5	16467	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001540
instance5	16467	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002638
instance5	15508	random	Dynamic	0.000516
instance5	14705	crescent	Dynamic	0.000368
instance5	14331	crescent	Static 	0.000382
instance5	13681	ratio value/totalWeight crescent	Dynamic	0.000750
instance5	13136	ratio value/totalWeight crescent	Static 	0.000762
instance5	12979	ratio value/weightOfMostCriticalDimension descending	Static 	0.001534
instance5	12979	ratio value/weightOfMostFullDimension descending	Static 	0.002316
instance5	12978	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001560
instance5	12978	ratio value/weightOfMostFullDimension descending	Dynamic	0.002376
instance5	12635	random	Static 	0.000532
instance6	23719	ratio value/totalWeight descending	Dynamic	0.000710
instance6	23085	ratio value/totalWeight descending	Static 	0.000834
instance6	19861	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001584
instance6	19861	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002228
instance6	18907	ratio value/weightOfMostFullDimension crescent	Static 	0.002308
instance6	18907	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001462
instance6	18059	random	Static 	0.000550
instance6	18045	random	Dynamic	0.000524
instance6	17788	descending	Static 	0.000292
instance6	17788	descending	Dynamic	0.000306
instance6	15830	crescent	Static 	0.000334
instance6	15162	crescent	Dynamic	0.000340
instance6	14090	ratio value/weightOfMostCriticalDimension descending	Static 	0.001526
instance6	14090	ratio value/weightOfMostFullDimension descending	Static 	0.002236
instance6	13268	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001540
instance6	13268	ratio value/weightOfMostFullDimension descending	Dynamic	0.002610
instance6	11222	ratio value/totalWeight crescent	Static 	0.000752
instance6	10565	ratio value/totalWeight crescent	Dynamic	0.000742
instance7	22787	ratio value/totalWeight descending	Static 	0.000780
instance7	22383	ratio value/totalWeight descending	Dynamic	0.000792
instance7	22308	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001534
instance7	22308	ratio value/weightOfMostFullDimension crescent	Static 	0.002712
instance7	21474	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001876
instance7	21474	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002352
instance7	21315	descending	Static 	0.000324
instance7	21315	descending	Dynamic	0.000312
instance7	16393	random	Static 	0.000530
instance7	16274	crescent	Static 	0.000350
instance7	15765	crescent	Dynamic	0.000340
instance7	15079	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001568
instance7	15079	ratio value/weightOfMostFullDimension descending	Dynamic	0.002304
instance7	14747	random	Dynamic	0.000528
instance7	14367	ratio value/weightOfMostFullDimension descending	Static 	0.002550
instance7	14367	ratio value/weightOfMostCriticalDimension descending	Static 	0.001648
instance7	13664	ratio value/totalWeight crescent	Dynamic	0.000776
instance7	13272	ratio value/totalWeight crescent	Static 	0.000748
instance8	21911	ratio value/totalWeight descending	Dynamic	0.000772
instance8	21249	ratio value/totalWeight descending	Static 	0.000798
instance8	19064	descending	Static 	0.000344
instance8	19064	descending	Dynamic	0.000324
instance8	17837	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001588
instance8	17837	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002544
instance8	17219	ratio value/weightOfMostFullDimension crescent	Static 	0.002764
instance8	17219	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001676
instance8	16783	random	Static 	0.000544
instance8	16502	random	Dynamic	0.000518
instance8	15302	crescent	Dynamic	0.000334
instance8	14734	crescent	Static 	0.000380
instance8	13997	ratio value/weightOfMostCriticalDimension descending	Static 	0.001538
instance8	13997	ratio value/weightOfMostFullDimension descending	Static 	0.002270
instance8	13560	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001508
instance8	13560	ratio value/weightOfMostFullDimension descending	Dynamic	0.002762
instance8	13177	ratio value/totalWeight crescent	Dynamic	0.000768
instance8	13056	ratio value/totalWeight crescent	Static 	0.000756
instance9	21614	ratio value/totalWeight descending	Dynamic	0.000824
instance9	20864	ratio value/totalWeight descending	Static 	0.000804
instance9	19343	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001724
instance9	19343	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002288
instance9	18637	descending	Static 	0.000298
instance9	18637	descending	Dynamic	0.000298
instance9	18460	ratio value/weightOfMostFullDimension crescent	Static 	0.002284
instance9	18460	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001568
instance9	16906	random	Dynamic	0.000520
instance9	14987	ratio value/weightOfMostCriticalDimension descending	Static 	0.001706
instance9	14987	ratio value/weightOfMostFullDimension descending	Static 	0.002646
instance9	14476	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001810
instance9	14476	ratio value/weightOfMostFullDimension descending	Dynamic	0.002592
instance9	14128	random	Static 	0.000526
instance9	14093	crescent	Static 	0.000368
instance9	13642	crescent	Dynamic	0.000340
instance9	12356	ratio value/totalWeight crescent	Static 	0.000744
instance9	10576	ratio value/totalWeight crescent	Dynamic	0.000728
instance10	23705	ratio value/totalWeight descending	Dynamic	0.000770
instance10	22150	ratio value/totalWeight descending	Static 	0.000810
instance10	21147	ratio value/weightOfMostCriticalDimension crescent	Static 	0.001938
instance10	21147	ratio value/weightOfMostCriticalDimension crescent	Dynamic	0.001680
instance10	21147	ratio value/weightOfMostFullDimension crescent	Static 	0.002272
instance10	21147	ratio value/weightOfMostFullDimension crescent	Dynamic	0.002280
instance10	20588	descending	Static 	0.000342
instance10	20588	descending	Dynamic	0.000306
instance10	18692	random	Static 	0.000510
instance10	17390	random	Dynamic	0.000498
instance10	15357	crescent	Static 	0.000384
instance10	14878	ratio value/weightOfMostCriticalDimension descending	Dynamic	0.001620
instance10	14878	ratio value/weightOfMostFullDimension descending	Dynamic	0.002224
