Instance  		Objective		Scheduling														Heuristic		Duration (in s)
instance1 		20987			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001666
instance1 		20987			ratio value/weightOfMostFullDimension crescent      			Static 			0.002344
instance1 		20233			ratio value/totalWeight descending                  			Static 			0.000846
instance1 		19780			ratio value/totalWeight descending                  			Dynamic			0.000736
instance1 		19696			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001616
instance1 		19696			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002156
instance1 		18166			descending                                          			Static 			0.000326
instance1 		18166			descending                                          			Dynamic			0.000324
instance1 		16264			random                                              			Dynamic			0.000418
instance1 		14932			random                                              			Static 			0.000440
instance1 		14295			crescent                                            			Static 			0.000360
instance1 		14085			ratio value/totalWeight crescent                    			Dynamic			0.000730
instance1 		13641			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001710
instance1 		13641			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002272
instance1 		13246			ratio value/weightOfMostFullDimension descending    			Static 			0.002368
instance1 		13246			ratio value/weightOfMostCriticalDimension descending			Static 			0.001624
instance1 		12834			ratio value/totalWeight crescent                    			Static 			0.000740
instance1 		12805			crescent                                            			Dynamic			0.000350
instance2 		22280			ratio value/totalWeight descending                  			Dynamic			0.000770
instance2 		21556			ratio value/totalWeight descending                  			Static 			0.000680
instance2 		19376			descending                                          			Static 			0.000286
instance2 		19376			descending                                          			Dynamic			0.000408
instance2 		18476			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001224
instance2 		18476			ratio value/weightOfMostFullDimension crescent      			Static 			0.002326
instance2 		18216			random                                              			Static 			0.000446
instance2 		17946			random                                              			Dynamic			0.000360
instance2 		17051			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001260
instance2 		17051			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002354
instance2 		16772			crescent                                            			Dynamic			0.000334
instance2 		15918			ratio value/weightOfMostCriticalDimension descending			Static 			0.001486
instance2 		15918			ratio value/weightOfMostFullDimension descending    			Static 			0.001860
instance2 		15187			crescent                                            			Static 			0.000356
instance2 		14262			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001312
instance2 		14262			ratio value/weightOfMostFullDimension descending    			Dynamic			0.001768
instance2 		13639			ratio value/totalWeight crescent                    			Dynamic			0.000696
instance2 		13314			ratio value/totalWeight crescent                    			Static 			0.000770
instance3 		21542			ratio value/totalWeight descending                  			Dynamic			0.000780
instance3 		21074			ratio value/totalWeight descending                  			Static 			0.000810
instance3 		20629			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001662
instance3 		20629			ratio value/weightOfMostFullDimension crescent      			Static 			0.002368
instance3 		20289			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001642
instance3 		20289			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002218
instance3 		17128			descending                                          			Static 			0.000382
instance3 		17128			descending                                          			Dynamic			0.000352
instance3 		14307			crescent                                            			Static 			0.000362
instance3 		13738			random                                              			Static 			0.000384
instance3 		13491			crescent                                            			Dynamic			0.000334
instance3 		13215			random                                              			Dynamic			0.000428
instance3 		12498			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001836
instance3 		12498			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002362
instance3 		12215			ratio value/totalWeight crescent                    			Static 			0.000898
instance3 		12184			ratio value/weightOfMostFullDimension descending    			Static 			0.002230
instance3 		12184			ratio value/weightOfMostCriticalDimension descending			Static 			0.001752
instance3 		11607			ratio value/totalWeight crescent                    			Dynamic			0.000810
instance4 		21046			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001508
instance4 		21046			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002524
instance4 		20222			ratio value/weightOfMostFullDimension crescent      			Static 			0.002284
instance4 		20222			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001736
instance4 		19676			descending                                          			Static 			0.000202
instance4 		19676			descending                                          			Dynamic			0.000200
instance4 		15966			random                                              			Dynamic			0.000372
instance4 		15522			ratio value/totalWeight descending                  			Static 			0.000536
instance4 		15413			crescent                                            			Dynamic			0.000222
instance4 		15102			random                                              			Static 			0.000308
instance4 		14846			ratio value/weightOfMostCriticalDimension descending			Static 			0.001714
instance4 		14846			ratio value/weightOfMostFullDimension descending    			Static 			0.002042
instance4 		14810			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001752
instance4 		14810			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002292
instance4 		14187			ratio value/totalWeight descending                  			Dynamic			0.000796
instance4 		13944			crescent                                            			Static 			0.000218
instance4 		13187			ratio value/totalWeight crescent                    			Static 			0.000714
instance4 		10860			ratio value/totalWeight crescent                    			Dynamic			0.000730
instance5 		21084			ratio value/totalWeight descending                  			Dynamic			0.000764
instance5 		20118			descending                                          			Dynamic			0.000340
instance5 		20118			descending                                          			Static 			0.000338
instance5 		19545			ratio value/totalWeight descending                  			Static 			0.000760
instance5 		18536			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001570
instance5 		18536			ratio value/weightOfMostFullDimension crescent      			Static 			0.002416
instance5 		17256			random                                              			Dynamic			0.000444
instance5 		16467			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001800
instance5 		16467			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002286
instance5 		15258			random                                              			Static 			0.000482
instance5 		14705			crescent                                            			Dynamic			0.000408
instance5 		14331			crescent                                            			Static 			0.000368
instance5 		13681			ratio value/totalWeight crescent                    			Dynamic			0.000764
instance5 		13136			ratio value/totalWeight crescent                    			Static 			0.000810
instance5 		12979			ratio value/weightOfMostCriticalDimension descending			Static 			0.001640
instance5 		12979			ratio value/weightOfMostFullDimension descending    			Static 			0.002502
instance5 		12978			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001672
instance5 		12978			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002292
instance6 		23719			ratio value/totalWeight descending                  			Dynamic			0.000772
instance6 		23085			ratio value/totalWeight descending                  			Static 			0.000824
instance6 		19861			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001530
instance6 		19861			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002148
instance6 		18907			ratio value/weightOfMostFullDimension crescent      			Static 			0.002308
instance6 		18907			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001466
instance6 		17788			descending                                          			Static 			0.000302
instance6 		17788			descending                                          			Dynamic			0.000332
instance6 		17062			random                                              			Dynamic			0.000390
instance6 		16244			random                                              			Static 			0.000396
instance6 		15830			crescent                                            			Static 			0.000348
instance6 		15162			crescent                                            			Dynamic			0.000414
instance6 		14090			ratio value/weightOfMostCriticalDimension descending			Static 			0.001558
instance6 		14090			ratio value/weightOfMostFullDimension descending    			Static 			0.002230
instance6 		13268			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001538
instance6 		13268			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002324
instance6 		11222			ratio value/totalWeight crescent                    			Static 			0.000744
instance6 		10565			ratio value/totalWeight crescent                    			Dynamic			0.000782
instance7 		22787			ratio value/totalWeight descending                  			Static 			0.000956
instance7 		22383			ratio value/totalWeight descending                  			Dynamic			0.000804
instance7 		22308			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001382
instance7 		22308			ratio value/weightOfMostFullDimension crescent      			Static 			0.002332
instance7 		21474			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001530
instance7 		21474			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.002110
instance7 		21315			descending                                          			Static 			0.000310
instance7 		21315			descending                                          			Dynamic			0.000292
instance7 		16274			crescent                                            			Static 			0.000330
instance7 		16198			random                                              			Static 			0.000432
instance7 		15765			crescent                                            			Dynamic			0.000378
instance7 		15485			random                                              			Dynamic			0.000446
instance7 		15079			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001454
instance7 		15079			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002542
instance7 		14367			ratio value/weightOfMostFullDimension descending    			Static 			0.002318
instance7 		14367			ratio value/weightOfMostCriticalDimension descending			Static 			0.001646
instance7 		13664			ratio value/totalWeight crescent                    			Dynamic			0.000882
instance7 		13272			ratio value/totalWeight crescent                    			Static 			0.000836
instance8 		21911			ratio value/totalWeight descending                  			Dynamic			0.000754
instance8 		21249			ratio value/totalWeight descending                  			Static 			0.000766
instance8 		19064			descending                                          			Static 			0.000282
instance8 		19064			descending                                          			Dynamic			0.000296
instance8 		17837			ratio value/weightOfMostCriticalDimension crescent  			Dynamic			0.001476
instance8 		17837			ratio value/weightOfMostFullDimension crescent      			Dynamic			0.001812
instance8 		17219			ratio value/weightOfMostFullDimension crescent      			Static 			0.002174
instance8 		17219			ratio value/weightOfMostCriticalDimension crescent  			Static 			0.001512
instance8 		15302			crescent                                            			Dynamic			0.000328
instance8 		14896			random                                              			Static 			0.000366
instance8 		14734			crescent                                            			Static 			0.000344
instance8 		13997			ratio value/weightOfMostCriticalDimension descending			Static 			0.001550
instance8 		13997			ratio value/weightOfMostFullDimension descending    			Static 			0.002328
instance8 		13560			ratio value/weightOfMostCriticalDimension descending			Dynamic			0.001514
instance8 		13560			ratio value/weightOfMostFullDimension descending    			Dynamic			0.002200
instance8 		13177			ratio value/totalWeight crescent                    			Dynamic			0.000726
